InvoiceNo,Description,Quantity
100001,Milk,3
100001,Tea,2
100001,Coffee,1
100001,Sugar,1
100001,Toothbrush,1
100002,Cookies,1
100002,Chocolate,1
100002,Tissue Paper,3
100002,Bread,2
100002,Chips,2
100002,Toothbrush,2
100003,Tea,3
100003,Eggs,2
100003,Onion,3
100003,Apple,1
100003,Soft Drink,2
100003,Tomato,1
100004,Yogurt,3
100004,Detergent,1
100004,Fish,2
100004,Dishwashing Liquid,1
100005,Carrot,2
100005,Cookies,2
100005,Spices,1
100005,Potato,3
100006,Banana,2
100006,Yogurt,2
100006,Popcorn,2
100006,Fruit Juice,3
100007,Jam,2
100007,Cookies,2
100007,Detergent,2
100008,Fruit Juice,2
100008,Shampoo,1
100008,Jam,1
100008,Spices,3
100008,Yogurt,3
100009,Tissue Paper,1
100009,Potato,1
100009,Shampoo,1
100009,Toothbrush,3
100009,Sugar,1
100010,Carrot,3
100010,Milk,2
100010,Spices,1
100010,Apple,2
100010,Coffee,2
100010,Yogurt,1
100010,Cooking Oil,2
100010,Toothbrush,1
100011,Apple,2
100011,Grapes,1
100011,Chips,3
100011,Conditioner,3
100012,Milk,1
100012,Cheese,1
100012,Bread,3
100012,Grapes,1
100012,Butter,1
100013,Fruit Juice,3
100013,Toothpaste,3
100013,Soap,3
100013,Shampoo,1
100013,Cooking Oil,3
100013,Sugar,2
100014,Spices,1
100014,Salt,1
100014,Rice,1
100015,Cookies,1
100015,Tissue Paper,3
100015,Tomato,3
100016,Cheese,3
100016,Yogurt,1
100016,Tomato,2
100017,Shampoo,2
100017,Dishwashing Liquid,2
100017,Conditioner,1
100017,Soap,1
100018,Cheese,2
100018,Tea,3
100018,Spices,2
100018,Biscuits,1
100018,Sugar,1
100019,Spices,1
100019,Chips,2
100019,Soft Drink,3
100019,Biscuits,1
100019,Sugar,1
100020,Cheese,2
100020,Chocolate,1
100020,Fruit Juice,2
100020,Eggs,2
100020,Shampoo,2
100020,Toothbrush,2
100021,Chocolate,3
100021,Detergent,3
100021,Shampoo,3
100021,Chips,1
100021,Cooking Oil,3
100022,Toothpaste,1
100022,Jam,3
100022,Cheese,1
100022,Soap,1
100023,Popcorn,3
100023,Chicken,1
100023,Fruit Juice,2
100023,Coffee,3
100023,Yogurt,3
100024,Chocolate,2
100024,Dishwashing Liquid,1
100024,Jam,1
100024,Apple,2
100024,Grapes,3
100024,Sugar,3
100025,Tea,2
100025,Yogurt,2
100025,Biscuits,1
100025,Sugar,2
100026,Toothpaste,3
100026,Grapes,3
100026,Toothbrush,2
100027,Banana,3
100027,Chicken,2
100027,Tea,1
100027,Detergent,3
100027,Sugar,3
100028,Apple,3
100028,Banana,2
100028,Cheese,2
100029,Milk,1
